R_ID,Zone_name,Zone,Technology,Cluster,Num_units,Cap_size,Existing_Cap_MW,Existing_Cap_MWh,Fixed_OM_cost_per_MWyr,Var_OM_cost_per_MWh,Fuel,Heat_rate_MMBTU_per_MWh,Marginal_cost,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Min_power,Ramp_Up_percentage,Ramp_Dn_percentage,Commit,Start_fuel_MMBTU_per_MW,Start_cost_per_MW,Up_time,Down_time,Charge_efficiency,Discharge_efficiency,THERM,VRE,MUSTRUN,STOR,HYDRO,RPS,CES
134,UT,11,Natural Gas Fired Combustion Turbine,2,11,16.409,180.499,0,11493,11.728,mountain_reference_naturalgas,9.697,37.78175415,2.123,2.421,0.644,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
103,SD_IID,3,Natural Gas Fired Combustion Turbine,2,3,112,336,0,7300,11.728,pacific_reference_naturalgas,10.031,38.5888814,0,0,0.446,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
47,NM,9,Natural Gas Fired Combustion Turbine,2,10,84.54,2418.285,0,8290.307,11.728,mountain_reference_naturalgas,10.316,39.44487406,1.09,0.936,0.396,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
8,AZ,8,Natural Gas Fired Combustion Turbine,2,22,46.018,4328.097,0,7300,11.728,mountain_reference_naturalgas,10.532,40.02521962,0.527,0.268,0.458,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
90,PNW,4,Natural Gas Fired Combustion Turbine,1,8,94.45,5153.822,0,7300,11.728,pacific_reference_naturalgas,11.373,42.18247155,3.719,1.988,0.321,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
60,NV,7,Natural Gas Fired Combustion Turbine,1,19,63.263,1201.997,0,8050.712,11.728,mountain_reference_naturalgas,11.908,43.72223578,1.23,0.958,0.782,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
46,NM,9,Natural Gas Fired Combustion Turbine,1,6,50.533,303.198,0,11493,11.728,mountain_reference_naturalgas,12.291,44.75127444,1.156,2.284,0.201,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
37,MT,6,Natural Gas Fired Combustion Turbine,1,3,48.1,144.3,0,9042,11.728,mountain_reference_naturalgas,12.516,45.35580106,0,0,0.104,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
7,AZ,8,Natural Gas Fired Combustion Turbine,1,12,39.617,475.404,0,10243.268,11.728,mountain_reference_naturalgas,12.993,46.63739751,0.974,1.868,0.387,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
133,UT,11,Natural Gas Fired Combustion Turbine,1,8,40.625,325,0,9042,11.728,mountain_reference_naturalgas,13.253,47.33596161,6.076,3.145,0.4,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
74,NorCal,1,Natural Gas Fired Combustion Turbine,1,12,24.717,296.604,0,11493,11.728,pacific_reference_naturalgas,15.697,53.76122254,0.323,1.018,0.703,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
20,CO,12,Natural Gas Fired Combustion Turbine,2,11,34.345,377.795,0,10844.244,11.728,mountain_reference_naturalgas,16.041,54.82671819,3.209,3.627,0.392,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
135,UT,11,Natural Gas Fired Combustion Turbine,3,4,5.05,20.2,0,11493,11.728,mountain_reference_naturalgas,17.142,57.78486847,0.637,1.275,0.455,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
142,WY,10,Natural Gas Fired Combustion Turbine,1,9,6,54,0,11493,11.728,mountain_reference_naturalgas,19.167,63.2256081,4.722,2.055,0.083,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
121,SoCal,2,Natural Gas Fired Combustion Turbine,5,4,11,44,0,11493,11.728,pacific_reference_naturalgas,21.475,69.23347583,0,0,0.545,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
91,PNW,4,Natural Gas Fired Combustion Turbine,2,4,81.1,324.4,0,9042,11.728,pacific_reference_naturalgas,27.75,86.03658925,1.686,0.973,0.062,3.78,3.78,1,3.5,117.9409835,1,1,1,1,1,0,0,0,0,0,0
